seqnames	start	end	width	strand	gene_id	SYMBOL	gene_name	logFC	logCPM	F	PValue	FDR	mlog10PValue	simple_gene_name
chr1	40620680	40665682	45003	-	ENSG00000117016.10	RIMS3	RIMS3	-1.04	3.62	18	0.001	0.0852	3	RIMS3
chr1	35720218	35769978	49761	-	ENSG00000092853.14	CLSPN	CLSPN	1.48	4.63	17.9	0.00101	0.0852	3	CLSPN
chr21	40010999	40847158	836160	-	ENSG00000171587.15	DSCAM	DSCAM	-0.907	3.84	17.9	0.00101	0.0852	2.99	DSCAM
chr19	56538948	56556808	17861	+	ENSG00000196867.8	ZFP28	ZFP28	-8.33	0.439	19.9	0.00101	0.0852	3	ZFP28
chr11	65261913	65305959	44047	+	ENSG00000014138.10	POLA2	POLA2	0.774	4.73	17.9	0.00102	0.0852	2.99	POLA2
chr12	31280584	31327058	46475	-	ENSG00000139146.14	SINHCAF	SINHCAF	0.38	5.9	17.9	0.00102	0.0852	2.99	SINHCAF
chr7	26667068	26995239	328172	-	ENSG00000005020.13	SKAP2	SKAP2	0.671	7.07	17.9	0.00103	0.0852	2.99	SKAP2
chr21	44328944	44339402	10459	-	ENSG00000160226.16	CFAP410	CFAP410	-0.68	3.37	17.9	0.00103	0.0852	2.99	CFAP410
chr17	81887835	81891586	3752	-	ENSG00000183684.8	ALYREF	ALYREF	0.578	4.77	17.8	0.00103	0.0852	2.99	ALYREF
chr3	11137093	11263557	126465	+	ENSG00000196639.7	HRH1	HRH1	-1.33	0.181	17.8	0.00103	0.0852	2.99	HRH1
chr10	17137336	17202054	64719	-	ENSG00000107614.22	TRDMT1	TRDMT1	1.85	2.88	17.8	0.00104	0.0852	2.98	TRDMT1
chr3	183919934	184017939	98006	-	ENSG00000114770.17	ABCC5	ABCC5	-1.56	8.17	17.8	0.00104	0.0852	2.98	ABCC5
chr7	3301252	4269000	967749	+	ENSG00000146555.20	SDK1	SDK1	-1.88	2.59	17.8	0.00104	0.0852	2.98	SDK1
chr6	18223860	18264548	40689	-	ENSG00000124795.17	DEK	DEK	0.528	7.02	17.8	0.00105	0.0852	2.98	DEK
chr1	150218417	150236156	17740	-	ENSG00000143401.15	ANP32E	ANP32E	0.827	6.11	17.7	0.00105	0.0852	2.98	ANP32E
chr3	98732236	98821201	88966	+	ENSG00000064225.13	ST3GAL6	ST3GAL6	0.422	6.18	17.7	0.00107	0.0859	2.97	ST3GAL6
chr8	47736913	47738164	1252	-	ENSG00000221869.5	CEBPD	CEBPD	-1.39	5.07	17.6	0.00107	0.0859	2.97	CEBPD
chr1	114089291	114153880	64590	-	ENSG00000134207.17	SYT6	SYT6	-1.26	5.07	17.6	0.00109	0.0864	2.96	SYT6
chr12	76025447	76031776	6330	-	ENSG00000139289.15	PHLDA1	PHLDA1	-1.51	4.25	17.5	0.0011	0.0864	2.96	PHLDA1
chr14	104681146	104722535	41390	+	ENSG00000203485.14	INF2	INF2	-0.873	5.67	17.5	0.0011	0.0864	2.96	INF2
chr11	118193725	118225094	31370	-	ENSG00000160593.19	JAML	JAML	-1.95	4.85	17.5	0.00111	0.0864	2.95	JAML
chr3	133598175	133662380	64206	-	ENSG00000163781.14	TOPBP1	TOPBP1	0.663	6.17	17.5	0.00111	0.0864	2.96	TOPBP1
chr5	175917873	176034680	116808	-	ENSG00000051596.10	THOC3	THOC3	0.494	5.05	17.4	0.00112	0.0865	2.95	THOC3
chr12	49127782	49131397	3616	-	ENSG00000123416.15	TUBA1B	TUBA1B	0.492	10.1	17.4	0.00113	0.0865	2.95	TUBA1B
chr4	120055623	120066858	11236	-	ENSG00000164109.14	MAD2L1	MAD2L1	1.28	3.72	17.3	0.00116	0.0874	2.93	MAD2L1
chr4	158124474	158173318	48845	-	ENSG00000164125.16	GASK1B	GASK1B	-0.825	6.23	17.3	0.00116	0.0874	2.93	GASK1B
chr7	117710651	117874139	163489	-	ENSG00000077063.11	CTTNBP2	CTTNBP2	-0.816	5.32	17.3	0.00117	0.0874	2.93	CTTNBP2
chr14	58427385	58551297	123913	+	ENSG00000100578.18	KIAA0586	KIAA0586	0.677	4.8	17.3	0.00117	0.0874	2.93	KIAA0586
chr19	6887566	6940459	52894	+	ENSG00000174837.15	ADGRE1	ADGRE1	-1.41	5.1	17.3	0.00117	0.0874	2.93	ADGRE1
chr7	81699010	81770438	71429	-	ENSG00000019991.18	HGF	HGF	-3.3	0.845	17.2	0.00119	0.0874	2.93	HGF
chr22	31281594	31292534	10941	-	ENSG00000100100.13	PIK3IP1	PIK3IP1	-0.868	4.9	17.2	0.00119	0.0874	2.92	PIK3IP1
chr22	29480218	29491390	11173	+	ENSG00000100285.10	NEFH	NEFH	0.422	4.57	17.1	0.00121	0.0874	2.92	NEFH
chr19	47349315	47382704	33390	+	ENSG00000134815.19	DHX34	DHX34	-0.459	5.01	17.1	0.00121	0.0874	2.92	DHX34
chr12	113098819	113136239	37421	-	ENSG00000111344.12	RASAL1	RASAL1	-1.83	4.78	17.1	0.00123	0.0874	2.91	RASAL1
chr17	17843511	17972422	128912	-	ENSG00000175662.18	TOM1L2	TOM1L2	-0.781	4.47	17	0.00124	0.0874	2.9	TOM1L2
chr16	67154185	67159909	5725	-	ENSG00000102871.16	TRADD	TRADD	-0.76	3.59	17	0.00125	0.0874	2.9	TRADD
chr12	55966781	55972789	6009	+	ENSG00000123374.11	CDK2	CDK2	0.575	4.53	17	0.00125	0.0874	2.9	CDK2
chr19	41350911	41384083	33173	+	ENSG00000142046.15	TMEM91	TMEM91	-1.2	1.75	17	0.00125	0.0874	2.9	TMEM91
chr11	61873519	61892051	18533	-	ENSG00000221968.9	FADS3	FADS3	-0.77	3.63	16.9	0.00126	0.0874	2.9	FADS3
chr7	30496621	30504841	8221	-	ENSG00000006625.18	GGCT	GGCT	0.437	4.39	16.9	0.00128	0.0874	2.89	GGCT
chr11	82899975	82958277	58303	+	ENSG00000165490.13	DDIAS	DDIAS	1.58	2.09	16.9	0.00128	0.0874	2.89	DDIAS
