seqnames	start	end	width	strand	gene_id	SYMBOL	gene_name	logFC	logCPM	F	PValue	FDR	mlog10PValue	simple_gene_name
chr10	26973793	27100494	126702	-	ENSG00000107890.17	ANKRD26	ANKRD26	0.929	4.4	26	0.000215	0.0341	3.67	ANKRD26
chr2	74549026	74557551	8526	+	ENSG00000115325.14	DOK1	DOK1	-0.419	6.06	26	0.000215	0.0341	3.67	DOK1
chr2	97492663	97589877	97215	-	ENSG00000196912.13	ANKRD36B	ANKRD36B	1.04	3.4	26	0.000216	0.0341	3.67	ANKRD36B
chr22	50201011	50217616	16606	+	ENSG00000073169.15	SELENOO	SELENOO	-0.497	4.58	25.9	0.000217	0.0341	3.66	SELENOO
chr19	3750772	3761692	10921	-	ENSG00000011132.12	APBA3	APBA3	-0.866	3.66	25.9	0.000218	0.0341	3.66	APBA3
chr2	97113153	97264521	151369	+	ENSG00000135976.21	ANKRD36	ANKRD36	0.992	4.18	25.7	0.000225	0.0345	3.65	ANKRD36
chr3	48856926	48898904	41979	-	ENSG00000178537.10	SLC25A20	SLC25A20	-0.81	4.53	25.7	0.000226	0.0345	3.65	SLC25A20
chr12	6828407	6839847	11441	+	ENSG00000110811.20	P3H3	P3H3	-1.63	0.181	25.4	0.000237	0.0356	3.63	P3H3
chr4	76949751	77040384	90634	+	ENSG00000138758.12	SEPTIN11	SEPTIN11	0.481	6.1	25.4	0.000239	0.0356	3.62	SEPTIN11
chr10	110497907	110511533	13627	+	ENSG00000138166.6	DUSP5	DUSP5	-1.81	2.56	25.3	0.000244	0.036	3.61	DUSP5
chr1	2184461	2212720	28260	-	ENSG00000162585.17	FAAP20	FAAP20	-0.856	4.06	25.1	0.000249	0.0363	3.6	FAAP20
chr11	65653599	65663090	9492	-	ENSG00000173039.20	RELA	RELA	0.741	6.26	25.1	0.000253	0.0363	3.6	RELA
chr10	23439075	23442377	3303	+	ENSG00000165312.7	OTUD1	OTUD1	-0.917	4.33	25	0.000254	0.0363	3.6	OTUD1
chr8	27733316	27772653	39338	-	ENSG00000147419.19	CCDC25	CCDC25	0.615	4.86	24.9	0.000261	0.0366	3.58	CCDC25
chr16	80597907	80804598	206692	-	ENSG00000166446.15	CDYL2	CDYL2	1.67	2.06	24.7	0.000268	0.0366	3.57	CDYL2
chr19	58467056	58475436	8381	+	ENSG00000083812.13	ZNF324	ZNF324	-0.721	3.33	24.7	0.000269	0.0366	3.57	ZNF324
chr12	122974580	122980043	5464	+	ENSG00000111325.16	OGFOD2	OGFOD2	-0.758	3.67	24.7	0.000271	0.0366	3.57	OGFOD2
chr1	150218417	150236156	17740	-	ENSG00000143401.15	ANP32E	ANP32E	0.969	6.11	24.6	0.000274	0.0366	3.56	ANP32E
chr18	22798261	23026488	228228	+	ENSG00000101773.19	RBBP8	RBBP8	0.908	4.18	24.6	0.000275	0.0366	3.56	RBBP8
chr20	24962925	24992751	29827	-	ENSG00000101474.12	APMAP	APMAP	-0.595	7.14	24.6	0.000276	0.0366	3.56	APMAP
chr14	90061994	90185853	123860	+	ENSG00000152315.5	KCNK13	KCNK13	-0.509	5.65	24.5	0.000278	0.0366	3.56	KCNK13
chr19	2476122	2478259	2138	+	ENSG00000099860.9	GADD45B	GADD45B	-2.36	3.16	24.4	0.000286	0.0373	3.54	GADD45B
chr9	121178133	121223014	44882	-	ENSG00000119396.12	RAB14	RAB14	0.716	7.04	24.3	0.000289	0.0374	3.54	RAB14
chr9	113407235	113410675	3441	-	ENSG00000148229.13	POLE3	POLE3	0.505	5.95	24.1	0.000297	0.0375	3.53	POLE3
chr15	63189560	63267776	78217	+	ENSG00000166128.13	RAB8B	RAB8B	0.413	6.32	24.1	0.000298	0.0375	3.53	RAB8B
chr16	31074422	31084196	9775	+	ENSG00000167395.10	ZNF646	ZNF646	-0.503	5.93	24.1	0.000298	0.0375	3.53	ZNF646
chr8	144463817	144465667	1851	-	ENSG00000291317.1	NA	NA	-1.13	2.81	24	0.000303	0.0377	3.52	ENSG00000291317.1
chr19	8444767	8489114	44348	+	ENSG00000099783.12	HNRNPM	HNRNPM	0.906	7.53	23.9	0.000311	0.0383	3.51	HNRNPM
chr12	79773563	79935460	161898	-	ENSG00000058272.19	PPP1R12A	PPP1R12A	0.965	6.96	23.8	0.000313	0.0383	3.5	PPP1R12A
chr10	97737121	97760907	23787	+	ENSG00000155256.18	ZFYVE27	ZFYVE27	-0.519	4.98	23.8	0.000316	0.0383	3.5	ZFYVE27
chr17	81976807	82017406	40600	+	ENSG00000169696.16	ASPSCR1	ASPSCR1	-0.601	4.65	23.7	0.000323	0.0386	3.49	ASPSCR1
chr17	31094927	31382116	287190	+	ENSG00000196712.20	NF1	NF1	1.09	7.13	23.7	0.000324	0.0386	3.49	NF1
chr22	39223359	39244982	21624	-	ENSG00000100311.17	PDGFB	PDGFB	-2.56	2.01	23.4	0.00034	0.0397	3.47	PDGFB
chr19	50505998	50511220	5223	-	ENSG00000161677.12	JOSD2	JOSD2	-1.12	2.67	23.4	0.00034	0.0397	3.47	JOSD2
chrX	85243991	85273362	29372	+	ENSG00000147180.17	ZNF711	ZNF711	0.865	3.01	23.3	0.000345	0.0397	3.46	ZNF711
chr19	38899700	38908893	9194	+	ENSG00000104825.17	NFKBIB	NFKBIB	-0.735	4.35	23.2	0.000354	0.0397	3.45	NFKBIB
chr11	59142748	59155039	12292	+	ENSG00000166801.17	FAM111A	FAM111A	0.57	6.87	23.1	0.000356	0.0397	3.45	FAM111A
chr6	34284887	34426071	141185	-	ENSG00000270800.4	RPS10-NUDT3	RPS10-NUDT3	0.867	6.09	23.1	0.000357	0.0397	3.45	RPS10-NUDT3
chr3	44712643	44723831	11189	+	ENSG00000196653.12	ZNF502	ZNF502	-1.6	0.278	24.4	0.00036	0.0397	3.44	ZNF502
chr2	237858893	237912106	53214	+	ENSG00000132329.11	RAMP1	RAMP1	-1.48	3.13	23	0.000362	0.0397	3.44	RAMP1
chr19	4444999	4457794	12796	-	ENSG00000167671.12	UBXN6	UBXN6	-0.547	6.64	23	0.000366	0.0397	3.44	UBXN6
chr18	55222185	55664787	442603	-	ENSG00000196628.20	TCF4	TCF4	0.465	8.24	23	0.000369	0.0397	3.43	TCF4
chr14	61187559	61550976	363418	+	ENSG00000027075.17	PRKCH	PRKCH	1.49	3.87	22.8	0.000379	0.0397	3.42	PRKCH
chr1	35176378	35193446	17069	-	ENSG00000116560.12	SFPQ	SFPQ	0.464	7.96	22.8	0.000379	0.0397	3.42	SFPQ
chr2	181457202	181538940	81739	+	ENSG00000115232.14	ITGA4	ITGA4	0.585	7.01	22.8	0.00038	0.0397	3.42	ITGA4
chr2	169791933	169812064	20132	+	ENSG00000138385.16	SSB	SSB	0.517	6.64	22.8	0.00038	0.0397	3.42	SSB
chr19	55675226	55709858	34633	+	ENSG00000063245.15	EPN1	EPN1	-0.668	6.94	22.7	0.000384	0.0397	3.42	EPN1
chr19	55600022	55603138	3117	+	ENSG00000171443.7	ZNF524	ZNF524	-0.873	3.86	22.7	0.000384	0.0397	3.42	ZNF524
chr12	53191323	53207282	15960	-	ENSG00000139626.16	ITGB7	ITGB7	-0.93	7.12	22.7	0.000388	0.0397	3.41	ITGB7
chr7	1530702	1543043	12342	+	ENSG00000198517.10	MAFK	MAFK	-0.783	4.84	22.7	0.00039	0.0397	3.41	MAFK
chr9	137306896	137423211	116316	-	ENSG00000187609.16	EXD3	EXD3	-0.815	3.21	22.6	0.000395	0.0397	3.4	EXD3
chr17	74424851	74451653	26803	+	ENSG00000170412.18	GPRC5C	GPRC5C	-1.37	1.84	22.5	4e-04	0.0397	3.4	GPRC5C
chr16	50313487	50368988	55502	-	ENSG00000166164.16	BRD7	BRD7	0.51	6.06	22.5	0.000403	0.0397	3.39	BRD7
chr10	102152176	102163871	11696	+	ENSG00000166197.17	NOLC1	NOLC1	0.545	6.41	22.4	0.000406	0.0397	3.39	NOLC1
chr11	115169218	115504957	335740	-	ENSG00000182985.18	CADM1	CADM1	0.449	7.01	22.4	0.000406	0.0397	3.39	CADM1
chr17	7074537	7080307	5771	-	ENSG00000132514.14	CLEC10A	CLEC10A	-2.12	2.2	22.4	0.000407	0.0397	3.39	CLEC10A
chr14	20801228	20802855	1628	-	ENSG00000129538.14	RNASE1	RNASE1	-1.59	2.27	22.4	0.00041	0.0397	3.39	RNASE1
chr7	91940840	92110673	169834	+	ENSG00000127914.19	AKAP9	AKAP9	0.809	7.19	22.3	0.000416	0.0397	3.38	AKAP9
chr12	6942978	6946003	3026	+	ENSG00000111678.11	C12orf57	C12orf57	-0.611	3.57	22.3	0.000419	0.0397	3.38	C12orf57
chr1	113813811	113871753	57943	-	ENSG00000134242.16	PTPN22	PTPN22	0.673	4.82	22.2	0.000425	0.0397	3.37	PTPN22
chr15	51938025	51971778	33754	-	ENSG00000166477.13	LEO1	LEO1	0.57	4.48	22.2	0.000425	0.0397	3.37	LEO1
chr2	135531455	135725270	193816	+	ENSG00000048991.17	R3HDM1	R3HDM1	1.09	5.76	22.2	0.000426	0.0397	3.37	R3HDM1
chr5	94618669	94739436	120768	+	ENSG00000133302.13	SLF1	SLF1	1.57	2.48	22.1	0.000435	0.0397	3.36	SLF1
chr8	18527303	19084730	557428	-	ENSG00000156011.18	PSD3	PSD3	0.966	3.48	22	0.000438	0.0397	3.36	PSD3
chr1	22635077	22639678	4602	+	ENSG00000173372.18	C1QA	C1QA	-0.884	7.48	22	0.000442	0.0397	3.35	C1QA
chr22	30291990	30326947	34958	-	ENSG00000099992.16	TBC1D10A	TBC1D10A	-0.649	4.33	21.9	0.000446	0.0397	3.35	TBC1D10A
chr1	34981380	34985347	3968	-	ENSG00000243749.2	TMEM35B	TMEM35B	-0.945	2.83	21.9	0.000449	0.0397	3.35	TMEM35B
chr19	6887566	6940459	52894	+	ENSG00000174837.15	ADGRE1	ADGRE1	-1.62	5.1	21.9	0.000451	0.0397	3.35	ADGRE1
chr1	158999968	159055155	55188	+	ENSG00000163565.20	IFI16	IFI16	0.652	8.17	21.8	0.000455	0.0397	3.34	IFI16
chrX	15825806	15854931	29126	-	ENSG00000182287.15	AP1S2	AP1S2	0.706	6.52	21.8	0.00046	0.0397	3.34	AP1S2
chr2	47695530	47810063	114534	+	ENSG00000116062.19	MSH6	MSH6	0.57	5.55	21.7	0.000463	0.0397	3.33	MSH6
chr14	58298504	58373887	75384	+	ENSG00000032219.19	ARID4A	ARID4A	0.683	5.84	21.7	0.000465	0.0397	3.33	ARID4A
chrX	106813871	107000212	186342	-	ENSG00000133131.15	MORC4	MORC4	0.783	5.66	21.7	0.000468	0.0397	3.33	MORC4
chr16	11833850	11851580	17731	-	ENSG00000171490.13	RSL1D1	RSL1D1	0.453	7.27	21.6	0.000473	0.0397	3.33	RSL1D1
chr1	35720218	35769978	49761	-	ENSG00000092853.14	CLSPN	CLSPN	1.62	4.63	21.6	0.000474	0.0397	3.32	CLSPN
chr21	44328944	44339402	10459	-	ENSG00000160226.16	CFAP410	CFAP410	-0.753	3.37	21.6	0.000478	0.0397	3.32	CFAP410
chr8	22138020	22141951	3932	-	ENSG00000168476.12	REEP4	REEP4	-0.462	5.36	21.5	0.000485	0.0397	3.31	REEP4
chr20	49936336	49953885	17550	+	ENSG00000124226.11	RNF114	RNF114	-0.5	6.39	21.5	0.000486	0.0397	3.31	RNF114
chr2	99337371	99401326	63956	+	ENSG00000158417.11	EIF5B	EIF5B	0.508	6.58	21.5	0.000487	0.0397	3.31	EIF5B
chr17	80219699	80253500	33802	+	ENSG00000181045.15	SLC26A11	SLC26A11	-1.55	4.62	21.4	0.000494	0.0397	3.31	SLC26A11
chr15	67542703	67807117	264415	+	ENSG00000137764.20	MAP2K5	MAP2K5	0.835	4.18	21.4	0.000495	0.0397	3.31	MAP2K5
chr11	134150113	134225504	75392	-	ENSG00000151503.14	NCAPD3	NCAPD3	1.13	5.91	21.4	0.000496	0.0397	3.3	NCAPD3
chr13	30456704	30617597	160894	-	ENSG00000189403.15	HMGB1	HMGB1	0.627	8.57	21.4	0.000496	0.0397	3.3	HMGB1
chr9	33921693	34049388	127696	-	ENSG00000137073.24	UBAP2	UBAP2	0.64	5.77	21.3	0.000502	0.0397	3.3	UBAP2
chr16	67518418	67546788	28371	+	ENSG00000039523.20	RIPOR1	RIPOR1	-0.578	6.96	21.3	0.000506	0.0397	3.3	RIPOR1
chr3	50558025	50571027	13003	-	ENSG00000088543.15	C3orf18	C3orf18	-1.32	2.21	21.3	0.000509	0.0397	3.29	C3orf18
chr2	232550659	232583644	32986	+	ENSG00000135930.15	EIF4E2	EIF4E2	0.469	6.81	21.3	0.00051	0.0397	3.29	EIF4E2
chr12	111360651	111369121	8471	-	ENSG00000198324.14	PHETA1	PHETA1	-0.542	4.44	21.2	0.000511	0.0397	3.29	PHETA1
chr19	1248553	1259143	10591	+	ENSG00000167470.14	MIDN	MIDN	-0.568	5.95	21.2	0.000512	0.0397	3.29	MIDN
chr15	90717346	90816166	98821	+	ENSG00000197299.13	BLM	BLM	1.22	4.07	21.2	0.000512	0.0397	3.29	BLM
chr19	10286955	10288522	1568	+	ENSG00000105371.10	ICAM4	ICAM4	-1.3	0.731	21.2	0.000518	0.0397	3.29	ICAM4
chr11	96349241	96389956	40716	-	ENSG00000149231.16	CCDC82	CCDC82	0.631	5.27	21.2	0.000518	0.0397	3.29	CCDC82
chr22	39120167	39152680	32514	-	ENSG00000100307.13	CBX7	CBX7	-0.977	4.79	21.2	0.00052	0.0397	3.28	CBX7
chr5	64766368	65102412	336045	+	ENSG00000153015.17	CWC27	CWC27	0.525	4.95	21	0.000531	0.0397	3.27	CWC27
chr2	219176225	219185475	9251	+	ENSG00000144567.11	RETREG2	RETREG2	-0.579	6.57	21	0.000532	0.0397	3.27	RETREG2
chr12	6913745	6923698	9954	+	ENSG00000111674.9	ENO2	ENO2	-1.51	0.626	21	0.000533	0.0397	3.27	ENO2
chr12	68808177	68845544	37368	+	ENSG00000135679.27	MDM2	MDM2	0.781	6.65	21	0.000533	0.0397	3.27	MDM2
chr22	38518948	38570204	51257	-	ENSG00000100206.11	DMC1	DMC1	0.97	2.28	21	0.000539	0.0397	3.27	DMC1
chr19	41956681	41959321	2641	-	ENSG00000105404.11	RABAC1	RABAC1	-0.721	4.67	20.9	0.000544	0.0397	3.26	RABAC1
chr19	2425625	2427586	1962	-	ENSG00000099800.8	TIMM13	TIMM13	-0.678	5.42	20.8	0.000554	0.0397	3.26	TIMM13
chr3	9757347	9769992	12646	-	ENSG00000134072.11	CAMK1	CAMK1	-0.901	6.45	20.8	0.000554	0.0397	3.26	CAMK1
chr12	57089043	57095476	6434	+	ENSG00000166886.13	NAB2	NAB2	-1.02	4.92	20.8	0.000556	0.0397	3.26	NAB2
chr10	5638867	5666595	27729	-	ENSG00000196372.13	ASB13	ASB13	-0.52	4.61	20.8	0.000557	0.0397	3.25	ASB13
chr22	23970542	23980525	9984	-	ENSG00000099977.16	DDT	DDT	-0.686	4.62	20.8	0.000558	0.0397	3.25	DDT
chr6	43014103	43021298	7196	+	ENSG00000124702.19	KLHDC3	KLHDC3	-0.433	6.82	20.8	0.000561	0.0397	3.25	KLHDC3
chr12	14774405	14778002	3598	+	ENSG00000246705.5	H2AJ	H2AJ	-0.504	4.68	20.7	0.000569	0.0397	3.24	H2AJ
chr16	88677688	88686507	8820	-	ENSG00000185669.6	SNAI3	SNAI3	-0.809	4.06	20.7	0.00057	0.0397	3.24	SNAI3
chr10	70052544	70112282	59739	+	ENSG00000099284.15	MACROH2A2	MACROH2A2	1.13	4.03	20.7	0.000571	0.0397	3.24	MACROH2A2
chr6	97142161	97283217	141057	-	ENSG00000146263.12	MMS22L	MMS22L	1	4.29	20.7	0.000571	0.0397	3.24	MMS22L
chr16	16379140	16393972	14833	+	ENSG00000214967.6	NPIPA7	NPIPA7	0.724	3.86	20.7	0.000571	0.0397	3.24	NPIPA7
