seqnames	start	end	width	strand	gene_id	SYMBOL	gene_name	logFC	logCPM	F	PValue	FDR	mlog10PValue	simple_gene_name
chr15	51341655	51408005	66351	+	ENSG00000186417.14	GLDN	GLDN	-1.94	3.04	46	1.41e-05	0.00903	4.85	GLDN
chr2	24819169	24920237	101069	-	ENSG00000138031.15	ADCY3	ADCY3	-1.38	5.89	45.3	1.52e-05	0.00928	4.82	ADCY3
chr12	20368537	20688583	320047	+	ENSG00000172572.7	PDE3A	PDE3A	-1.88	3.37	43.1	1.97e-05	0.0115	4.71	PDE3A
chr14	94104836	94116695	11860	+	ENSG00000165949.13	IFI27	IFI27	4.59	4.4	42.1	2.2e-05	0.0115	4.66	IFI27
chr2	237485428	237555322	69895	+	ENSG00000115648.14	MLPH	MLPH	-2.34	2.49	42.1	2.22e-05	0.0115	4.65	MLPH
chr5	140631728	140633700	1973	-	ENSG00000170458.15	CD14	CD14	0.819	7.09	42	2.22e-05	0.0115	4.65	CD14
chr19	51889235	51905040	15806	-	ENSG00000198093.11	ZNF649	ZNF649	-1.54	3.36	41.6	2.33e-05	0.0116	4.63	ZNF649
chr2	218781749	218815293	33545	+	ENSG00000135929.9	CYP27A1	CYP27A1	-2.06	6.54	40.5	2.69e-05	0.0129	4.57	CYP27A1
chr20	51596514	51768390	171877	-	ENSG00000054793.14	ATP9A	ATP9A	-1.63	2.29	39.3	3.09e-05	0.0141	4.51	ATP9A
chr11	126355640	126440344	84705	+	ENSG00000110080.20	ST3GAL4	ST3GAL4	1.18	2.69	39.2	3.16e-05	0.0141	4.5	ST3GAL4
chr6	41158506	41163186	4681	-	ENSG00000095970.17	TREM2	TREM2	-1.37	8.25	38.5	3.43e-05	0.0147	4.47	TREM2
chr2	54723499	54972025	248527	+	ENSG00000214595.13	EML6	EML6	-2.13	2.33	38.4	3.5e-05	0.0147	4.46	EML6
chr12	109783087	109833406	50320	-	ENSG00000111199.12	TRPV4	TRPV4	1.48	4.42	37.2	4.08e-05	0.0162	4.39	TRPV4
chr11	14643804	14872044	228241	+	ENSG00000152270.9	PDE3B	PDE3B	-0.853	4.5	37.1	4.1e-05	0.0162	4.39	PDE3B
chr12	112978395	113011723	33329	+	ENSG00000111335.14	OAS2	OAS2	1.14	5.4	36.6	4.39e-05	0.0164	4.36	OAS2
chr3	113532555	113629575	97021	+	ENSG00000072858.11	SIDT1	SIDT1	-1.31	2.88	36.5	4.47e-05	0.0164	4.35	SIDT1
chr9	13105706	13279692	173987	-	ENSG00000107186.17	MPDZ	MPDZ	-1.67	6.12	36.2	4.62e-05	0.0164	4.34	MPDZ
chr20	23079360	23086324	6965	-	ENSG00000125810.10	CD93	CD93	1.1	6.08	36	4.75e-05	0.0164	4.32	CD93
chr2	181457202	181538940	81739	+	ENSG00000115232.14	ITGA4	ITGA4	0.729	7.01	36	4.76e-05	0.0164	4.32	ITGA4
chr2	215360440	215436073	75634	-	ENSG00000115414.21	FN1	FN1	3.58	6.61	35.7	4.96e-05	0.0167	4.3	FN1
chr8	133454848	133571940	117093	-	ENSG00000008513.16	ST3GAL1	ST3GAL1	-1.3	5.58	35.4	5.16e-05	0.0169	4.29	ST3GAL1
chr16	27402174	27452042	49869	+	ENSG00000103522.17	IL21R	IL21R	0.703	5.83	34.5	5.86e-05	0.018	4.23	IL21R
chr5	34656328	34832612	176285	+	ENSG00000039560.14	RAI14	RAI14	-2.84	1.46	34.3	5.97e-05	0.018	4.22	RAI14
chr1	26317958	26320523	2566	+	ENSG00000169442.9	CD52	CD52	-2.58	6.08	34.3	6.04e-05	0.018	4.22	CD52
chr19	44946035	44949565	3531	+	ENSG00000234906.11	APOC2	APOC2	-0.926	8.31	34.1	6.16e-05	0.018	4.21	APOC2
chr12	96000753	96043520	42768	-	ENSG00000111144.10	LTA4H	LTA4H	-0.558	7.71	34.1	6.17e-05	0.018	4.21	LTA4H
chr6	73695785	73828316	132532	+	ENSG00000156535.15	CD109	CD109	-1.06	2.36	33.8	6.4e-05	0.0183	4.19	CD109
chr3	143119771	143124014	4244	+	ENSG00000175040.6	CHST2	CHST2	0.823	4.94	33.6	6.65e-05	0.0186	4.18	CHST2
chr19	57696275	57709204	12930	-	ENSG00000179909.16	ZNF154	ZNF154	-1.41	4.1	32.9	7.28e-05	0.0198	4.14	ZNF154
chr10	88819896	88851844	31949	-	ENSG00000152766.6	ANKRD22	ANKRD22	1.75	1.5	32.8	7.46e-05	0.0198	4.13	ANKRD22
chr8	142771197	142777810	6614	-	ENSG00000180155.20	LYNX1	LYNX1	1.26	2.01	32.7	7.51e-05	0.0198	4.12	LYNX1
chr6	24494867	24537207	42341	+	ENSG00000112294.14	ALDH5A1	ALDH5A1	-1.14	3.11	32.4	7.82e-05	0.0202	4.11	ALDH5A1
chr6	41149337	41154347	5011	-	ENSG00000161911.12	TREML1	TREML1	-1.65	4.09	32	8.29e-05	0.0209	4.08	TREML1
chr7	12570577	12660182	89606	+	ENSG00000006747.15	SCIN	SCIN	-1.85	3.03	31.7	8.68e-05	0.0209	4.06	SCIN
chr1	38043829	38046793	2965	-	ENSG00000185668.8	POU3F1	POU3F1	-2.85	0.557	31.7	8.72e-05	0.0209	4.06	POU3F1
chr14	71932429	72566530	634102	+	ENSG00000182732.18	RGS6	RGS6	-1.86	1.4	31.6	8.85e-05	0.0209	4.05	RGS6
chr21	41420020	41470071	50052	+	ENSG00000157601.15	MX1	MX1	0.749	5.03	31.6	8.88e-05	0.0209	4.05	MX1
chr10	73631612	73641474	9863	-	ENSG00000177791.12	MYOZ1	MYOZ1	-1.79	1.85	31.3	9.23e-05	0.0214	4.03	MYOZ1
chr14	95407266	95516650	109385	-	ENSG00000176438.13	SYNE3	SYNE3	1.17	2.67	30.5	0.000104	0.0235	3.98	SYNE3
chr2	61145068	61164828	19761	+	ENSG00000237651.8	C2orf74	C2orf74	-0.853	3.44	30.5	0.000105	0.0235	3.98	C2orf74
chr8	21908873	21913690	4818	-	ENSG00000147443.13	DOK2	DOK2	-1.7	2.77	30.3	0.000108	0.0237	3.97	DOK2
chr2	96112876	96116571	3696	-	ENSG00000274286.2	ADRA2B	ADRA2B	-3.4	-0.958	30.2	0.00011	0.0238	3.96	ADRA2B
chr7	137381037	137847092	466056	-	ENSG00000157680.17	DGKI	DGKI	-1.92	3.37	29.9	0.000114	0.0242	3.94	DGKI
chr11	12094008	12359144	265137	+	ENSG00000133816.19	MICAL2	MICAL2	0.772	4.13	29.8	0.000115	0.0242	3.94	MICAL2
chr11	120211032	120230334	19303	+	ENSG00000184232.9	OAF	OAF	1.62	-0.141	29.7	0.000118	0.0243	3.93	OAF
chr2	237858893	237912106	53214	+	ENSG00000132329.11	RAMP1	RAMP1	-1.71	3.13	29.4	0.000124	0.0253	3.91	RAMP1
chr9	72900671	73080442	179772	-	ENSG00000165092.13	ALDH1A1	ALDH1A1	-1.33	7.43	28.9	0.000133	0.0267	3.88	ALDH1A1
chr7	28995235	29195451	200217	-	ENSG00000106066.15	CPVL	CPVL	-0.608	7.43	28.7	0.000137	0.027	3.86	CPVL
chr17	74609885	74623738	13854	-	ENSG00000186407.7	CD300E	CD300E	1.43	2.33	28.1	0.000151	0.0292	3.82	CD300E
chr15	84884654	84945798	61145	+	ENSG00000156222.12	SLC28A1	SLC28A1	-3.04	-0.785	28.1	0.000153	0.0292	3.82	SLC28A1
chr16	50666300	50681353	15054	-	ENSG00000167208.16	SNX20	SNX20	0.416	6.17	28	0.000154	0.0292	3.81	SNX20
chr3	12287368	12434356	146989	+	ENSG00000132170.24	PPARG	PPARG	-2.21	4.03	27.4	0.000169	0.0316	3.77	PPARG
chr11	128458761	128587558	128798	-	ENSG00000134954.14	ETS1	ETS1	0.828	2.97	27.1	0.00018	0.0328	3.74	ETS1
chr11	119355215	119381711	26497	-	ENSG00000036672.16	USP2	USP2	-1.93	0.115	27	0.000181	0.0328	3.74	USP2
chr1	203212827	203273641	60815	-	ENSG00000133063.16	CHIT1	CHIT1	-3.06	6.13	26.6	0.000193	0.0338	3.71	CHIT1
chr19	51450847	51458456	7610	-	ENSG00000105366.15	SIGLEC8	SIGLEC8	-1.29	5.98	26.6	0.000194	0.0338	3.71	SIGLEC8
chr21	45981770	46005050	23281	+	ENSG00000142156.16	COL6A1	COL6A1	-1.29	5.54	26.6	0.000195	0.0338	3.71	COL6A1
chr1	220786352	220819659	33308	+	ENSG00000186205.14	MTARC1	MTARC1	-1.28	4.41	26.5	0.000196	0.0338	3.71	MTARC1
chr8	41529218	41545030	15813	+	ENSG00000147536.12	GINS4	GINS4	0.976	3.38	26.4	0.000202	0.0343	3.69	GINS4
chr6	150143044	150250392	107349	+	ENSG00000198729.5	PPP1R14C	PPP1R14C	-2.03	0.999	26.2	0.000207	0.0345	3.68	PPP1R14C
chr21	46098112	46132848	34737	+	ENSG00000142173.17	COL6A2	COL6A2	-1.15	5.04	26.2	0.000208	0.0345	3.68	COL6A2
chr19	44914247	44919349	5103	+	ENSG00000130208.10	APOC1	APOC1	-2.19	8.45	25.9	0.000217	0.0355	3.66	APOC1
chr1	22710839	22921500	210662	+	ENSG00000133216.17	EPHB2	EPHB2	1.14	5.43	25.6	0.000232	0.0372	3.64	EPHB2
chr18	62325287	62391288	66002	+	ENSG00000141655.18	TNFRSF11A	TNFRSF11A	-1.88	0.759	25.5	0.000235	0.0372	3.63	TNFRSF11A
chr20	43914852	44069616	154765	+	ENSG00000124191.18	TOX2	TOX2	1.28	3.76	25.5	0.000236	0.0372	3.63	TOX2
chr1	226548764	226609230	60467	+	ENSG00000203685.11	STUM	STUM	-3.4	-0.695	25.4	0.000238	0.0372	3.62	STUM
chr4	158124474	158173318	48845	-	ENSG00000164125.16	GASK1B	GASK1B	-1.01	6.23	25.2	0.000247	0.0375	3.61	GASK1B
chr4	150078445	150257438	178994	+	ENSG00000170390.16	DCLK2	DCLK2	-0.656	3.53	25.2	0.000248	0.0375	3.6	DCLK2
chr15	28884483	29118315	233833	+	ENSG00000034053.15	APBA2	APBA2	-1.54	4.4	25.1	0.000249	0.0375	3.6	APBA2
chr19	305573	344815	39243	-	ENSG00000105556.12	MIER2	MIER2	0.553	4.86	24.9	0.000259	0.0387	3.59	MIER2
chr1	62194849	62212328	17480	+	ENSG00000240563.2	L1TD1	L1TD1	0.563	5.21	24.5	0.000278	0.0409	3.56	L1TD1
chr12	72087266	72670758	583493	+	ENSG00000072657.10	TRHDE	TRHDE	-6.55	-0.881	25.9	0.000284	0.0409	3.55	TRHDE
chr19	49157741	49211836	54096	+	ENSG00000130529.16	TRPM4	TRPM4	1.26	5.19	24.4	0.000285	0.0409	3.55	TRPM4
chr12	57028517	57051198	22682	-	ENSG00000166866.13	MYO1A	MYO1A	-1.56	0.791	24.3	0.000286	0.0409	3.54	MYO1A
chr8	85987323	86154225	166903	+	ENSG00000147614.4	ATP6V0D2	ATP6V0D2	-2.01	3.14	24	0.000303	0.0428	3.52	ATP6V0D2
chr17	80219699	80253500	33802	+	ENSG00000181045.15	SLC26A11	SLC26A11	-1.65	4.62	23.9	0.000312	0.0437	3.51	SLC26A11
chr4	1056250	1113564	57315	-	ENSG00000178222.14	RNF212	RNF212	1.35	0.396	23.8	0.000316	0.0438	3.5	RNF212
chr2	171922448	171983686	61239	+	ENSG00000128708.13	HAT1	HAT1	0.579	5.12	23.5	0.000332	0.0442	3.48	HAT1
chr16	67987394	68000586	13193	-	ENSG00000167261.14	DPEP2	DPEP2	-1.87	4.12	23.5	0.000337	0.0442	3.47	DPEP2
chr19	54643889	54670359	26471	+	ENSG00000186818.13	LILRB4	LILRB4	-2.69	0.306	23.4	0.000337	0.0442	3.47	LILRB4
chr10	95237572	95291012	53441	-	ENSG00000107438.9	PDLIM1	PDLIM1	2.29	1.26	23.4	0.000338	0.0442	3.47	PDLIM1
chr1	58575433	58577252	1820	-	ENSG00000184292.7	TACSTD2	TACSTD2	1.57	5.97	23.4	0.000338	0.0442	3.47	TACSTD2
chr12	10845849	10849475	3627	-	ENSG00000111215.12	PRH1	PRH1	-6.69	-0.694	24.8	0.000339	0.0442	3.47	PRH1
chr12	9067664	9116229	48566	-	ENSG00000175899.15	A2M	A2M	-0.896	11.6	23.3	0.000344	0.0445	3.46	A2M
chr11	64234584	64239264	4681	+	ENSG00000173511.10	VEGFB	VEGFB	-0.928	6.24	23.1	0.000358	0.0458	3.45	VEGFB
chr5	175917873	176034680	116808	-	ENSG00000051596.10	THOC3	THOC3	0.564	5.05	22.9	0.000372	0.0466	3.43	THOC3
chr1	56494761	56645301	150541	-	ENSG00000162407.9	PLPP3	PLPP3	-1.93	2.37	22.9	0.000374	0.0466	3.43	PLPP3
chr19	9853718	9936515	82798	-	ENSG00000105088.9	OLFM2	OLFM2	-2.26	1.52	22.9	0.000375	0.0466	3.43	OLFM2
chr6	89926528	90296843	370316	-	ENSG00000112182.16	BACH2	BACH2	-1.59	1.03	22.6	0.000393	0.0482	3.41	BACH2
chr11	60185657	60318080	132424	+	ENSG00000110079.19	MS4A4A	MS4A4A	-0.706	4.35	22.6	0.000397	0.0482	3.4	MS4A4A
chr16	25691959	26137685	445727	+	ENSG00000182601.7	HS3ST4	HS3ST4	-1.23	2.93	22.5	0.000399	0.0482	3.4	HS3ST4
chr16	50693588	50733077	39490	+	ENSG00000167207.15	NOD2	NOD2	0.808	3.06	22.5	0.000402	0.0482	3.4	NOD2
chrX	72127110	72131915	4806	-	ENSG00000242732.6	RTL5	RTL5	-1.53	2.62	22.1	0.00043	0.0511	3.37	RTL5
chr10	71319259	71381423	62165	+	ENSG00000198246.10	SLC29A3	SLC29A3	-0.571	6.15	22.1	0.000435	0.0511	3.36	SLC29A3
chr9	99821855	99866891	45037	+	ENSG00000119508.18	NR4A3	NR4A3	-1.15	3.27	22	0.000445	0.0511	3.35	NR4A3
chr1	24745382	24844321	98940	+	ENSG00000169504.15	CLIC4	CLIC4	0.683	6.93	21.9	0.000447	0.0511	3.35	CLIC4
chr3	151425384	151461061	35678	-	ENSG00000152580.9	IGSF10	IGSF10	-1.22	1.92	21.9	0.000451	0.0511	3.35	IGSF10
chr1	44635238	44674481	39244	-	ENSG00000126106.14	TMEM53	TMEM53	-0.882	2.99	21.9	0.000452	0.0511	3.34	TMEM53
chr8	81732448	81759515	27068	+	ENSG00000164695.5	CHMP4C	CHMP4C	-0.927	1.89	21.9	0.000453	0.0511	3.34	CHMP4C
chr9	98199011	98255649	56639	-	ENSG00000095383.20	TBC1D2	TBC1D2	-1.5	4.43	21.8	0.000461	0.0516	3.34	TBC1D2
chr7	23235967	23275108	39142	+	ENSG00000136235.17	GPNMB	GPNMB	-1.92	11.2	21.6	0.000473	0.0525	3.33	GPNMB
chr3	183487551	183555706	68156	-	ENSG00000172578.12	KLHL6	KLHL6	-0.578	7.66	21.5	0.000489	0.0538	3.31	KLHL6
chr9	136975092	136981742	6651	+	ENSG00000107317.13	PTGDS	PTGDS	-2.38	2.44	21.4	0.000499	0.0542	3.3	PTGDS
chr2	29097705	29199777	102073	+	ENSG00000115295.21	CLIP4	CLIP4	-1.77	3.8	21.3	0.000501	0.0542	3.3	CLIP4
chr5	151661096	151686975	25880	-	ENSG00000113140.11	SPARC	SPARC	-2.72	2.3	21.2	0.000516	0.0554	3.29	SPARC
chr19	46466491	46471563	5073	-	ENSG00000182013.18	PNMA8A	PNMA8A	-0.878	4.77	21.1	0.000525	0.0556	3.28	PNMA8A
chr4	123396795	123403760	6966	+	ENSG00000164056.11	SPRY1	SPRY1	-1.82	2.76	21.1	0.000526	0.0556	3.28	SPRY1
chr3	48856926	48898904	41979	-	ENSG00000178537.10	SLC25A20	SLC25A20	-0.725	4.53	21	0.00054	0.0567	3.27	SLC25A20
chr19	54572920	54590287	17368	+	ENSG00000239998.7	LILRA2	LILRA2	-1.7	0.944	20.9	0.00055	0.0567	3.26	LILRA2
chr13	106489745	106535662	45918	-	ENSG00000125266.8	EFNB2	EFNB2	-1.67	0.579	20.8	0.000552	0.0567	3.26	EFNB2
chr16	68737292	68835537	98246	+	ENSG00000039068.20	CDH1	CDH1	-1.57	6.88	20.8	0.000553	0.0567	3.26	CDH1
chr11	68312591	68449275	136685	+	ENSG00000162337.12	LRP5	LRP5	-2.37	0.423	20.6	0.000577	0.0585	3.24	LRP5
chr11	62337448	62393412	55965	+	ENSG00000162174.12	ASRGL1	ASRGL1	-0.823	5.32	20.6	0.000579	0.0585	3.24	ASRGL1
chr4	41256413	41268455	12043	+	ENSG00000154277.13	UCHL1	UCHL1	-2.5	1.01	20.5	0.000588	0.0589	3.23	UCHL1
chr3	53328963	53813733	484771	+	ENSG00000157388.20	CACNA1D	CACNA1D	-0.636	3.81	20.5	0.000592	0.0589	3.23	CACNA1D
chr2	127843553	127858155	14603	-	ENSG00000144231.11	POLR2D	POLR2D	0.38	5.52	20.4	0.000603	0.0596	3.22	POLR2D
chr8	22544986	22575788	30803	+	ENSG00000120896.14	SORBS3	SORBS3	-1.6	5.37	20.3	0.000613	0.0598	3.21	SORBS3
chr1	230314490	230426332	111843	-	ENSG00000177614.11	PGBD5	PGBD5	-0.751	4.71	20.3	0.000614	0.0598	3.21	PGBD5
chr22	32801705	32863041	61337	+	ENSG00000100234.12	TIMP3	TIMP3	-3.05	3.29	20.3	0.00062	0.0599	3.21	TIMP3
chr17	78971238	78979947	8710	-	ENSG00000108679.13	LGALS3BP	LGALS3BP	1.25	6.26	20.2	0.000625	0.06	3.2	LGALS3BP
chr19	11574653	11579993	5341	-	ENSG00000102575.14	ACP5	ACP5	-1.65	7.82	20.2	0.000632	0.06	3.2	ACP5
chr1	241847967	241895148	47182	+	ENSG00000174371.17	EXO1	EXO1	1.6	2.55	20.2	0.000634	0.06	3.2	EXO1
chr2	231198546	231376848	178303	+	ENSG00000135931.19	ARMC9	ARMC9	-1.18	3.05	20.1	0.000641	0.0601	3.19	ARMC9
chr13	42886388	42992271	105884	-	ENSG00000133106.15	EPSTI1	EPSTI1	0.45	5.58	20.1	0.000645	0.0601	3.19	EPSTI1
chr8	104339087	104356689	17603	+	ENSG00000164935.6	DCSTAMP	DCSTAMP	-3.98	2.02	20	0.000649	0.0601	3.19	DCSTAMP
chr11	69294151	69341682	47532	+	ENSG00000172927.9	MYEOV	MYEOV	1.1	3.69	20	0.000658	0.0603	3.18	MYEOV
chr7	28299321	28825894	526574	+	ENSG00000146592.17	CREB5	CREB5	1.04	4.63	20	0.000659	0.0603	3.18	CREB5
chr2	190408355	190509205	100851	+	ENSG00000151690.15	MFSD6	MFSD6	0.929	3.06	19.9	0.000666	0.0604	3.18	MFSD6
chr16	57358783	57366189	7407	+	ENSG00000102962.5	CCL22	CCL22	-0.948	3.83	19.7	0.00069	0.0621	3.16	CCL22
chr3	48446710	48467645	20936	+	ENSG00000164053.22	ATRIP	ATRIP	1.06	3.89	19.7	0.000693	0.0621	3.16	ATRIP
chr4	152769354	152779730	10377	-	ENSG00000169989.3	TIGD4	TIGD4	-0.95	2.61	19.7	0.000697	0.0621	3.16	TIGD4
chr12	5948877	6124770	175894	-	ENSG00000110799.14	VWF	VWF	-1.67	0.951	19.4	0.000732	0.064	3.14	VWF
chr19	44382298	44401608	19311	-	ENSG00000267508.6	ZNF285	ZNF285	-2.33	1.2	19.4	0.000736	0.064	3.13	ZNF285
chr7	95583499	95596516	13018	-	ENSG00000004799.8	PDK4	PDK4	-2.11	2.38	19.4	0.000742	0.064	3.13	PDK4
chr17	8039034	8049134	10101	+	ENSG00000179593.16	ALOX15B	ALOX15B	-2.11	2.21	19.4	0.000743	0.064	3.13	ALOX15B
chr1	112911847	112957593	45747	-	ENSG00000155380.13	SLC16A1	SLC16A1	0.929	6.58	19.3	0.000751	0.064	3.12	SLC16A1
chr19	18418864	18434562	15699	+	ENSG00000130511.16	SSBP4	SSBP4	1.05	5.37	19.3	0.000752	0.064	3.12	SSBP4
chr7	24698355	24757940	59586	-	ENSG00000105928.16	GSDME	GSDME	-0.802	6.48	19.3	0.000759	0.064	3.12	GSDME
chr12	10212458	10223128	10671	+	ENSG00000139112.11	GABARAPL1	GABARAPL1	-0.908	6.3	19.2	0.000765	0.064	3.12	GABARAPL1
chr4	184755595	184826818	71224	-	ENSG00000151726.16	ACSL1	ACSL1	-0.495	6.73	19.2	0.000765	0.064	3.12	ACSL1
chr10	89213569	89414557	200989	-	ENSG00000107798.18	LIPA	LIPA	-1.1	9.33	19.2	0.000769	0.064	3.11	LIPA
chr12	31382226	31591136	208911	-	ENSG00000170456.16	DENND5B	DENND5B	-0.498	4.99	19.2	0.000771	0.064	3.11	DENND5B
chr19	51804816	51890950	86135	-	ENSG00000161551.15	ZNF577	ZNF577	-1.38	3.73	19.2	0.000778	0.0641	3.11	ZNF577
chr3	14810853	14934571	123719	+	ENSG00000154783.12	FGD5	FGD5	0.596	7.01	19.1	0.000791	0.0646	3.1	FGD5
chr12	91140484	91183217	42734	-	ENSG00000011465.18	DCN	DCN	1.92	0.437	19.1	0.000794	0.0646	3.1	DCN
chr8	143017982	143023832	5851	+	ENSG00000160932.11	LY6E	LY6E	1.57	3.32	19	0.000798	0.0646	3.1	LY6E
chr17	7101322	7115700	14379	-	ENSG00000161944.17	ASGR2	ASGR2	0.811	7.71	18.9	0.00082	0.066	3.09	ASGR2
chr15	72284727	72375981	91255	-	ENSG00000260729.1	NA	NA	-1.62	1.95	18.9	0.000827	0.0661	3.08	ENSG00000260729.1
chr7	135183839	135211555	27717	-	ENSG00000105875.15	WDR91	WDR91	-0.835	6.41	18.8	0.000833	0.0662	3.08	WDR91
chr7	135148072	135166215	18144	+	ENSG00000146859.6	TMEM140	TMEM140	-1.38	3.8	18.8	0.000842	0.0664	3.07	TMEM140
chr7	101127104	101139247	12144	+	ENSG00000106366.9	SERPINE1	SERPINE1	-2.58	-0.502	18.7	0.00085	0.0664	3.07	SERPINE1
chr10	62811996	62819167	7172	-	ENSG00000122877.18	EGR2	EGR2	-1.34	4.6	18.7	0.000853	0.0664	3.07	EGR2
chr9	89605012	89606555	1544	+	ENSG00000130222.11	GADD45G	GADD45G	-2.19	1.53	18.7	0.000857	0.0664	3.07	GADD45G
chr11	128891356	128921163	29808	+	ENSG00000120457.12	KCNJ5	KCNJ5	-1.8	4.95	18.7	0.00086	0.0664	3.07	KCNJ5
chr11	76782251	76798153	15903	+	ENSG00000182704.8	TSKU	TSKU	-1.83	3.44	18.6	0.000876	0.0666	3.06	TSKU
chr15	98648539	98964530	315992	+	ENSG00000140443.15	IGF1R	IGF1R	-0.898	3.19	18.5	0.000887	0.0666	3.05	IGF1R
chr9	127505339	127578989	73651	-	ENSG00000136830.12	NIBAN2	NIBAN2	0.497	6.2	18.5	0.000888	0.0666	3.05	NIBAN2
chr1	225810124	225845563	35440	+	ENSG00000143819.13	EPHX1	EPHX1	-0.92	4.04	18.5	0.000889	0.0666	3.05	EPHX1
chr8	38974228	38988663	14436	+	ENSG00000169495.5	HTRA4	HTRA4	-1.66	1.18	18.5	0.000895	0.0666	3.05	HTRA4
chr9	19108375	19149290	40916	-	ENSG00000147872.10	PLIN2	PLIN2	-1.3	5.41	18.5	0.000897	0.0666	3.05	PLIN2
chr12	50103982	50111313	7332	+	ENSG00000167588.13	GPD1	GPD1	-4.08	1.66	18.5	0.000898	0.0666	3.05	GPD1
chr14	92703807	92748679	44873	-	ENSG00000100600.15	LGMN	LGMN	-1.4	8.6	18.5	0.000902	0.0666	3.04	LGMN
chr21	40010999	40847158	836160	-	ENSG00000171587.15	DSCAM	DSCAM	-0.921	3.84	18.4	0.000919	0.0675	3.04	DSCAM
chr19	33299934	33302534	2601	-	ENSG00000245848.3	CEBPA	CEBPA	-0.76	7.9	18.3	0.000932	0.0681	3.03	CEBPA
chr4	2059327	2069089	9763	+	ENSG00000185818.8	NAT8L	NAT8L	-0.883	4.91	18.3	0.00094	0.0683	3.03	NAT8L
chr3	172630249	172711218	80970	-	ENSG00000144959.11	NCEH1	NCEH1	-0.717	6.71	18.2	0.000949	0.0683	3.02	NCEH1
chr20	63235883	63240495	4613	+	ENSG00000101197.13	BIRC7	BIRC7	-1.7	3.67	18.2	0.000951	0.0683	3.02	BIRC7
chr9	98120975	98192637	71663	-	ENSG00000106789.13	CORO2A	CORO2A	-0.9	3.42	18.2	0.000962	0.0685	3.02	CORO2A
chr13	36998816	37025881	27066	+	ENSG00000120699.14	EXOSC8	EXOSC8	0.495	4.71	18.1	0.000963	0.0685	3.02	EXOSC8
chr17	68535113	68601367	66255	-	ENSG00000108950.12	FAM20A	FAM20A	-1.61	2.46	18.1	0.000973	0.0688	3.01	FAM20A
chr2	189560590	189583758	23169	-	ENSG00000138449.11	SLC40A1	SLC40A1	-1.39	6.32	18	0.000986	0.0693	3.01	SLC40A1
